"Format: must be tab separated, first four field are required, 5th-7th are optional."						
VariableName	DefaultValue	VariableTitle	DataType	DisplayOrder	LowerBound	UpperBound
@begin						
randGenSeed	32461	Random number generator seed	INTEGER	1	0	99999999
runStartDate	10/1/90	Run start date	DATE	5		
runEndDate	9/30/00	Run end date	DATE	10		
popInitDate	10/1/90	Date used to identify initial population characteristics from population initialization input file	DATE	15		
siteLatitude	40	"Latitude of the study site, in degrees north"	FLOAT	20	0	90
fishOutputFile	Live_Fish_Out.csv	Population output file name	OUTFILENAME	25		
fishMortalityFile	Dead_Fish_Out.csv	Mortality output file name	OUTFILENAME	30		
reddOutputFile	Redds_Out.csv	Redd output file name	OUTFILENAME	35		
fileOutputFrequency	1	Days between file outputs	INTEGER	40	1	30
appendFiles	0	"""0"" to overwrite output files; ""1"" to append"	BOOL	45		
shuffleYears	0	"""1"" if simulation years should be randomly shuffles; ""0"" if not"	BOOL	50		
shuffleYearReplace	1	"""1"" if year shuffle randomization is with replacement (only relevant if 'shuffleYears' is '1'); ""0"" if without replacement"	BOOL	55		
shuffleYearSeed	1	Seed used by random year shuffler	INTEGER	60	0	99999999
@end						
